Communication,Learn how to manage the complex dynamics of a family business and sustain your enterprise into future generations.,Family Business: Strategy Essentials,University of British Columbia,,99.00 USD,https://www.edx.org/school/ubcx,None,UBCx+FBSEx
Computer Science,"Learn the secret to writing well-tested and easy to improve programs, that will set you up to master any programming language",How to Code: Simple Data,University of British Columbia,,125.00 USD,https://www.edx.org/school/ubcx,None,UBCx+HtC1x
Computer Science,"Learn how to design more complex programs, using new data structures, abstraction, and generative recursion.",How to Code: Complex Data,University of British Columbia,,125.00 USD,https://www.edx.org/school/ubcx,None,UBCx+HtC2x
Business & Management,"Learn the fundamentals of marketing, including strategies and tools used across industries.",Introduction to Marketing,University of British Columbia,,50.00 USD,https://www.edx.org/school/ubcx,None,UBCx+Marketing1x
Computer Science,Explore intermediate and advanced topics in computer science by building mobile apps with App Inventor for Android.,"Mobile Computing with App Inventor: CS Principles, Part 2",Trinity College,,50.00 USD,https://www.edx.org/school/trinityx,None,TrinityX+T008x
Computer Science,.,Principles of Electric Circuits,Tsinghua University,,49.00 USD,https://www.edx.org/school/tsinghuax,None,TsinghuaX+20220214x
Medicine,En este curso analizaremos algunos interrogantes éticos y jurídicos que suscita el trasplante de órganos.,Trasplante de órganos - desafíos éticos y jurídicos,Universidad Autónoma de Madrid,,50.00 USD,https://www.edx.org/school/uamx,None,UAMx+TxEtj201x
Education & Teacher Training,"Strategies, exemplars, and resources that support teaching and learning of Indigenous ways of knowing in classrooms, schools & communities.",Reconciliation Through Indigenous Education,University of British Columbia,,49.00 USD,https://www.edx.org/school/ubcx,None,UBCx+IndEdu200x
Social Sciences,.,Policy Analysis using Interrupted Time Series,University of British Columbia,,49.00 USD,https://www.edx.org/school/ubcx,None,UBCx+ITSx
Engineering,"Design your own silicon photonics chip. The first online course to include photonics fabrication, experimentation, and data analysis.","Silicon Photonics Design, Fabrication and Data Analysis",University of British Columbia,,495.00 USD,https://www.edx.org/school/ubcx,None,UBCx+Phot1x
Computer Science,Learn how to design large software systems that solve real-world problems using object-oriented design techniques.,Software Construction: Object-Oriented Design,University of British Columbia,,125.00 USD,https://www.edx.org/school/ubcx,None,UBCx+SoftConst2x
Computer Science,.,"Information Systems and Computer Applications, Part 3: Software Development",Universitat Politècnica de Valencia,,50.00 USD,https://www.edx.org/school/upvalenciax,None,UPValenciaX+ISC101.3x
Computer Science,Aprende las bases hardware de los Sistemas de Información y las Redes de Comunicaciones.,"Sistemas de Información y ordenadores, Parte 2: Hardware",Universitat Politècnica de Valencia,,50.00 USD,https://www.edx.org/school/upvalenciax,None,UPValenciaX+SIC101.2x
Computer Science,Prepara el examen USA CLEP de Sistemas de Información y Aplicaciones Informáticas. Esta parte 3 se centrará en el desarrollo de software.,"Sistemas de Información y ordenadores, Parte 3: Desarrollo de software",Universitat Politècnica de Valencia,,50.00 USD,https://www.edx.org/school/upvalenciax,None,UPValenciaX+SIC101.3x
Computer Science,Aprenderás a sacar partido de las nuevas tecnologías en tu labor docente para crear una experiencia de aprendizaje nueva y enriquecedora.,Tecnologías Educativas,Universitat Politècnica de Valencia,,49.00 USD,https://www.edx.org/school/upvalenciax,None,UPValenciaX+TE201x
Computer Science,.,Aplicaciones de la Teoría de Grafos a la vida real II,Universitat Politècnica de Valencia,,49.00 USD,https://www.edx.org/school/upvalenciax,None,UPValenciaX+TGV201x.2
Medicine,.,Useful Genetics - Part 1,University of British Columbia,,49.00 USD,https://www.edx.org/school/ubcx,None,UBCx+UseGen.1x
Medicine,.,Useful Genetics - Part 2,University of British Columbia,,49.00 USD,https://www.edx.org/school/ubcx,None,UBCx+UseGen.2x
Computer Science,Learn to create images of 3D scenes in both real-time and with realistic ray tracing.,Computer Graphics,"The University of California, San Diego",,99.00 USD,https://www.edx.org/school/uc-san-diegox,None,UCSDx+CSE167x
Education & Teacher Training,This education and teacher training course discusses professionalism in the health professions teaching contexts and practices.,Health Professional Teaching Skills – Level 3 - Professionalism,University of Toronto,,50.00 USD,https://www.edx.org/school/university-torontox,None,University_of_TorontoX+HPT3x
Computer Science,Learn to program in an easy and interactive way and enter the fascinating world of computer science.,Introduction to Programming with Java Part 2: Writing Good Code,Universidad Carlos III de Madrid,,50.00 USD,https://www.edx.org/school/uc3mx,None,UC3Mx+IT.1.2x
Computer Science,Learn how virtual reality technology works by writing simple VR programs with WebVR.,How Virtual Reality Works,"The University of California, San Diego",,99.00 USD,https://www.edx.org/school/uc-san-diegox,None,UCSanDiegoX+CSE165x
Business & Management,Learn how to use behavioral economics to design experiments and develop tools to help people make better decisions.,Behavioural Economics in Action,University of Toronto,,49.00 USD,https://www.edx.org/school/university-torontox,None,University_of_TorontoX+BE101x_3
Education & Teacher Training,Learn the basics of faculty development by focusing on foundational skills.,Health Professional Teaching Skills – Level 1 – Foundational,University of Toronto,,50.00 USD,https://www.edx.org/school/university-torontox,None,University_of_TorontoX+HPT1x
Education & Teacher Training,.,Health Professional Teaching Skills – Level 2 – Strategies,University of Toronto,,50.00 USD,https://www.edx.org/school/university-torontox,None,University_of_TorontoX+HPT2x
Computer Science,.,Buscar en Internet,Universitat Politècnica de Valencia,,49.00 USD,https://www.edx.org/school/upvalenciax,None,UPValenciaX+BI101x
Math,.,Bases matemáticas: Álgebra,Universitat Politècnica de Valencia,,50.00 USD,https://www.edx.org/school/upvalenciax,None,UPValenciaX+BMA101x
Math,"Curso básico sobre funciones y sus derivadas, incluyendo sus aplicaciones a la resolución de problemas.",Bases Matemáticas: Derivadas,Universitat Politècnica de Valencia,,50.00 USD,https://www.edx.org/school/upvalenciax,None,UPValenciaX+BMD101x
Engineering,.,Dynamics and Control,Universitat Politècnica de Valencia,,50.00 USD,https://www.edx.org/school/upvalenciax,None,UPValenciaX+DC201x
Computer Science,.,Introducción al desarrollo de videojuegos con Unity,Universitat Politècnica de Valencia,,50.00 USD,https://www.edx.org/school/upvalenciax,None,UPValenciaX+UNY201.x
Social Sciences,Gain an understanding of mental health issues and ethical decision-making for people with intellectual disability.,Able-Minded - Mental Health and People with Intellectual Disability,The University of Queensland,,49.00 USD,https://www.edx.org/school/uqx,None,UQx+ABLE301x
Computer Science,Align and analyze DNA sequences using web and software based tools to find mutations and other anomalies in genes and genomic sequences.,DNA Sequences: Alignments and Analysis,University System of Maryland,,249.00 USD,https://www.edx.org/school/usmx,None,USMx+BIF001x
Computer Science,"Learn basic R programming to analyze biological big data to locate genes, perform simulations, and gauge the effect of specific markers.",Statistical Analysis in Bioinformatics,University System of Maryland,,249.00 USD,https://www.edx.org/school/usmx,None,USMx+BIF003x
Engineering,Learn how to design an effective biorefinery to obtain valuable components from various biobased feedstocks.,Advanced Biorefinery,Wageningen University & Research,,199.00 USD,https://www.edx.org/school/wageningenx,None,WageningenX+BB03x
Engineering,Design new (bio)catalytic conversion routes to use biobased feedstocks to their highest potential as building blocks.,Advanced Biobased Conversion,Wageningen University & Research,,199.00 USD,https://www.edx.org/school/wageningenx,None,WageningenX+BB04x
Engineering,Use the knowledge gained in the Biobased Sciences for Sustainability MicroMasters Program to design a sustainable biobased process.,Biobased Sciences for Sustainability Capstone,Wageningen University & Research,,199.00 USD,https://www.edx.org/school/wageningenx,None,WageningenX+BB06x
Humanities,Learn to use anthropological ideas to see the world from a range of perspectives and points of view.,Anthropology of Current World Issues,The University of Queensland,,99.00 USD,https://www.edx.org/school/uqx,None,UQx+World101x
Social Sciences,Become part of the global health community and prepare yourself to join teams providing care.,Global Health – The Lessons of Ebola,University System of Maryland,,50.00 USD,https://www.edx.org/school/usmx,None,USMx+GBH100x
Computer Science,Learn how to locate software bugs and defects using the latest testing techniques.,Software Testing Fundamentals,University System of Maryland,,249.00 USD,https://www.edx.org/school/usmx,None,USMx+STV1.1x
Computer Science,"Learn how to effectively manage software tests using estimations, defect management, metrics and software quality initiatives.",Software Testing Management,University System of Maryland,,249.00 USD,https://www.edx.org/school/usmx,None,USMx+STV1.2x
Computer Science,.,"Information Systems and Computer Applications, Part 2: Hardware",Universitat Politècnica de Valencia,,50.00 USD,https://www.edx.org/school/upvalenciax,None,UPValenciaX+ISC101.2x
Computer Science,.,"Information Systems and Computer Applications, Part 4: Programming",Universitat Politècnica de Valencia,,50.00 USD,https://www.edx.org/school/upvalenciax,None,UPValenciaX+ISC101.4x
Computer Science,.,"Information Systems and Computer Applications, Part 5: Social Implications",Universitat Politècnica de Valencia,,50.00 USD,https://www.edx.org/school/upvalenciax,None,UPValenciaX+ISC101.5x
Computer Science,Conoce los fundamentos de los sistemas de información para la empresa.,"Sistemas de Información y ordenadores, Parte 1: Sistemas de información para la empresa",Universitat Politècnica de Valencia,,50.00 USD,https://www.edx.org/school/upvalenciax,None,UPValenciaX+SIC101.1x
Computer Science,.,Introducción a Excel,Universitat Politècnica de Valencia,,49.00 USD,https://www.edx.org/school/upvalenciax,None,UPValenciaX+xls101x
Social Sciences,Learn how behavioural science can improve our criminal justice system.,The Psychology of Criminal Justice,The University of Queensland,,99.00 USD,https://www.edx.org/school/uqx,None,UQx+Crime101x
Social Sciences,.,"Visualizing Postwar Tokyo, Part 1",The University of Tokyo,,49.00 USD,https://www.edx.org/school/utokyox,None,UTokyoX+UTokyo001x
Social Sciences,.,"Visualizing Postwar Tokyo, Part 2",The University of Tokyo,,49.00 USD,https://www.edx.org/school/utokyox,None,UTokyoX+UTokyo002x
Social Sciences,Prepare for the Sociology CLEP Exam,Introduction to Sociology,The University of Texas of the Permian Basin,,49.00 USD,https://www.edx.org/school/utpermianbasinx,None,UTPermianBasin+SOCI101x
Computer Science,In this course you will learn project management standards and frameworks that increase efficiency and deliver tangible business benefits.,Strategic Applications of IT Project & Program Management,University of Washington,,79.00 USD,https://www.edx.org/school/uwashingtonx,None,UWashingtonX+PM-IT-001x
Computer Science,"Learn how a Project Management Office works, discover techniques to monitor and control projects and keep your project portfolio healthy.","Portfolio Management, Governance & the PMO",University of Washington,,79.00 USD,https://www.edx.org/school/uwashingtonx,None,UWashingtonX+PM-IT-002x
History,"Take a virtual trip to Antarctica to explore the geology and history of the coldest, driest, windiest continent on earth.",Antarctica: From Geology to Human History,Victoria University of Wellington,,49.00 USD,https://www.edx.org/school/victoriax,None,VictoriaX+ICE101x
Art & Culture,"A MITx/HarvardX collaboration, this course explores Japan’s transition into the modern world through the historical visual record.",Visualizing Japan,Harvard University,,75.00 USD,https://www.edx.org/school/harvardx,None,VJx+VJx
Computer Science,"Learn, from Microsoft and W3C experts, how to take your Web pages from bland to bold with the power of CSS styling.",CSS Introduction,The World Wide Web Consortium (W3C),,49.00 USD,https://www.edx.org/school/w3cx,None,W3Cx+CSS.0x
Biology & Life Sciences,"Discover how animals learn, communicate, find food, avoid predators, and interact socially.",Introduction to Animal Behaviour,Wageningen University & Research,,49.00 USD,https://www.edx.org/school/wageningenx,None,WageningenX+AB101x
Social Sciences,Who decides what food is on your plate? Understand the basics of access to food and food decision-making from a multilevel perspective.,Food Security and Sustainability: Food Access,Wageningen University & Research,,49.00 USD,https://www.edx.org/school/wageningenx,None,WageningenX+FSSFAx
Biology & Life Sciences,Learn the fundamentals of nutrition and its impact on human health.,Nutrition and Health Part 1: Macronutrients and Overnutrition,Wageningen University & Research,,49.00 USD,https://www.edx.org/school/wageningenx,None,WageningenX+NUTR101x
Biology & Life Sciences,Take the challenge and understand problems and solutions to managing tropical coastal ecosystems.,Tropical coastal ecosystems,The University of Queensland,,99.00 USD,https://www.edx.org/school/uqx,None,UQx+TROPIC101x
Computer Science,Learn software quality techniques beyond just running test cases.,Formal Software Verification,University System of Maryland,,249.00 USD,https://www.edx.org/school/usmx,None,USMx+STV1.3x
Social Sciences,Learn to practice yoga on and off the mat and bring mindfulness into your everyday life.,The Science and Practice of Yoga,University of Texas at Arlington,,49.00 USD,https://www.edx.org/school/utarlingtonx,None,UTArlingtonX+LINK.BW.1x
Computer Science,.,Introduction to Management Information Systems (MIS): A Survival Guide,Universidad Carlos III de Madrid,,50.00 USD,https://www.edx.org/school/uc3mx,None,UC3Mx+IM.1x
Computer Science,Learn the tools and techniques to develop your own professional VR app in Unity 3D.,Creating Virtual Reality Applications,"The University of California, San Diego",,99.00 USD,https://www.edx.org/school/uc-san-diegox,None,UCSanDiegoX+CSE190x
Social Sciences,Instructors from the worlds of research and practice engage you in design-oriented collaborative activities focused on STEAM+ learning.,Teaching With Technology and Inquiry: An Open Course For Teachers,University of Toronto,,50.00 USD,https://www.edx.org/school/university-torontox,None,University_of_TorontoX+INQ101x
Engineering,"Se tratan conceptos básicos de las comunicaciones ópticas como el guiado, los modos, la atenuación o la dispersión y el diseño de sistemas.",Fundamentos de Comunicaciones Ópticas,Universitat Politècnica de Valencia,,49.00 USD,https://www.edx.org/school/upvalenciax,None,UPValenciaX+FCO201x
Business & Management,"Definiremos la Gestión Participativa, trataremos su implantación y la medición del grado de despliegue de prácticas HIWP en las empresas.",Gestión participativa (High Involvement Work Practices),Universitat Politècnica de Valencia,,150.00 USD,https://www.edx.org/school/upvalenciax,None,UPValenciaX+GP201x
Business & Management,"Conoce los diferentes estilos de liderazgo, aprende a ser un líder eficaz y establece un plan personal para mejorar tus habilidades.",Liderazgo para mandos intermedios,Universitat Politècnica de Valencia,,150.00 USD,https://www.edx.org/school/upvalenciax,None,UPValenciaX+LIDER201.3x
Business & Management,Aprende a conocer tus competencias innovadoras y a evaluar las de los demás aplicando...,Cómo diagnosticar mis competencias de innovación,Universitat Politècnica de Valencia,,150.00 USD,https://www.edx.org/school/upvalenciax,None,UPValenciaX+LIDER201.4x
Math,Aprenderemos a modelizar problemas del mundo real mediante su representación con grafos y a resolverlos mediante sus algoritmos asociados.,Aplicaciones de la Teoría de Grafos a la vida real I,Universitat Politècnica de Valencia,,49.00 USD,https://www.edx.org/school/upvalenciax,None,UPValenciaX+TGV201x.1
Computer Science,En este curso profundizarás en las herramientas para el tratamiento y manejo de datos que ofrece Excel.,Excel 2: Gestión de datos,Universitat Politècnica de Valencia,,75.00 USD,https://www.edx.org/school/upvalenciax,None,UPValenciaX+XLS201x
Education & Teacher Training,How can powerful teaching strategies and effective learning activities enhance deep learning?,Deep Learning through Transformative Pedagogy,The University of Queensland,,49.00 USD,https://www.edx.org/school/uqx,None,UQx+LEARNx
Computer Science,Learn methods for managing cloud computing projects and build an understanding of the various risks and compliance issues involved.,Cloud Computing Management,University System of Maryland,,249.00 USD,https://www.edx.org/school/usmx,None,USMx+CC607x
Business & Management,Learn how to design various structures of a biobased supply-chain and how to choose the best alternative based on quantitative analysis.,Circular economy,Wageningen University & Research,,199.00 USD,https://www.edx.org/school/wageningenx,None,WageningenX+BB05x
Data Analysis & Statistics,.,Foundations of Data Analysis - Part 2,The University of Texas at Austin,,49.00 USD,https://www.edx.org/school/utaustinx,None,UTAustinX+UT.7.21x
Education & Teacher Training,.,Classroom Strategies for Inquiry-Based Learning,The University of Texas at Austin,,49.00 USD,https://www.edx.org/school/utaustinx,None,UTAustinX+UT.IITL.11.02x
Biology & Life Sciences,Learn to care for your pet birds.,Pet Birds 101: Introduction to Avian Care and Medicine for the Pet Bird Enthusiast,University of Tennessee,,49.00 USD,https://www.edx.org/school/utennesseex,None,UTennesseeX+BIRDS101.1x
Business & Management,A renowned innovation expert shows how to spark your creativity for career development in 5 proven steps.,Reinvent yourself: Unleash your creativity,The University of Texas Health Science Center at Houston (UTHealth) School of Public Health,,89.00 USD,https://www.edx.org/school/uthealthsphx,None,UTHealthSPHx+IMAGINE99x
Data Analysis & Statistics,Learn data analysis basics for working with biomedical big data with practical hands-on examples using R.,Introduction to Biostatistics for Big Data Applications,The University of Texas Medical Branch,,49.00 USD,https://www.edx.org/school/utmbx,None,UTMBx+STAT101x
Computer Science,"Learn how to develop project management and leadership skills essential for successfully guiding diverse, distributed teams and projects.",Leadership & Management for PM Practitioners in IT,University of Washington,,79.00 USD,https://www.edx.org/school/uwashingtonx,None,UWashingtonX+PM-IT-003x
Computer Science,"I love this course. The simplicity of the language, explanations and examples used were very supportive of total beginner like me.",HTML5 Introduction,The World Wide Web Consortium (W3C),,99.00 USD,https://www.edx.org/school/w3cx,None,W3Cx+HTML5.0x
Computer Science,"Learn JavaScript, a Web development programming language, to add interactivity to your Web pages and become an expert Web developer.",JavaScript Introduction,The World Wide Web Consortium (W3C),,99.00 USD,https://www.edx.org/school/w3cx,None,W3Cx+JS.0x
Biology & Life Sciences,Learn how to apply systems thinking to improve the environmental sustainability of food production systems.,Systems thinking and environmental sustainability,Wageningen University & Research,,49.00 USD,https://www.edx.org/school/wageningenx,None,WageningenX+FFESx
